date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:48	6983/6983	---M-Z	200	added ('OK')	application/javascript	etag:%221b47-5a47d5ca1732b-gzip%22	https://www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget.js?data-id=1-2476674448&data-host=www.cqc.org.uk&type=location	C:/code/alikor/focus/focuscarelink/www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget325f.js	(from http://focuscarelink.co.uk/page.php?id=32)
22:12:48	14291/14291	---M--	200	added ('OK')	text/css	etag:%22dbaa329b14ecf1:7490c%22	http://focuscarelink.co.uk/staff/style.css	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/style.css	(from http://focuscarelink.co.uk/staff/login.php)
22:12:52	439025/439025	---M--	200	added ('OK')	application/x-javascript	etag:%22aff42e13b04ecf1:7490c%22	http://focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js	(from http://focuscarelink.co.uk/staff/login.php)
22:12:52	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2013%20Jul%202021%2021:12:26%20GMT	http://focuscarelink.co.uk/staff/index.php	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/index.33.delayed	(from http://focuscarelink.co.uk/staff/login.php)
22:12:53	2490/2490	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:30%20GMT	http://focuscarelink.co.uk/staff/forgot-password.php	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/forgot-password.html	(from http://focuscarelink.co.uk/staff/login.php)
22:12:54	8836/8836	---M--	200	added ('OK')	image/png	etag:%22e14e80cdf4dcf1:7490c%22	http://focuscarelink.co.uk/staff/layout_inc/login.png	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/layout_inc/login.png	(from http://focuscarelink.co.uk/staff/login.php)
22:12:57	117936/117936	---M--	200	added ('OK')	image/jpeg	etag:%2265c5f97a4d52cf1:7490c%22	http://focuscarelink.co.uk/Uploads/carers3.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/carers3.jpg	(from http://focuscarelink.co.uk/page.php?id=8)
22:12:59	138532/138532	---M--	200	added ('OK')	image/jpeg	etag:%22c3bf21914d52cf1:7490c%22	http://focuscarelink.co.uk/Uploads/meettheteam2.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/meettheteam2.jpg	(from http://focuscarelink.co.uk/page.php?id=10)
22:12:59	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:37%20GMT	http://focuscarelink.co.uk/layout/header.png	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout/header.36.delayed	(from http://focuscarelink.co.uk/staff/style.css)
22:13:00	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:37%20GMT	http://focuscarelink.co.uk/staff/layout/bottom-menu.png	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/layout/bottom-menu.37.delayed	(from http://focuscarelink.co.uk/staff/style.css)
22:13:00	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:37%20GMT	http://focuscarelink.co.uk/staff/applewebkit/	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/applewebkit/index.html	(from http://focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js)
22:13:00	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:37%20GMT	http://focuscarelink.co.uk/staff/adobeair/	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/adobeair/index.html	(from http://focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js)
22:13:00	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:37%20GMT	http://focuscarelink.co.uk/staff/styles.js	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/styles.38.delayed	(from http://focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js)
22:13:01	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:38%20GMT	http://focuscarelink.co.uk/staff/plugins/	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/plugins/index.html	(from http://focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js)
22:13:01	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:38%20GMT	http://focuscarelink.co.uk/staff/plugins/templates/templates/default.js	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/plugins/templates/templates/default.39.delayed	(from http://focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js)
22:13:01	0/-1	---M--	302	error ('')			http://focuscarelink.co.uk/staff/index.php	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/index.3a.delayed	(from http://focuscarelink.co.uk/staff/forgot-password.php)
22:13:01	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:12:38%20GMT	http://focuscarelink.co.uk/staff/chrome/	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/chrome/index.html	(from http://focuscarelink.co.uk/layout_inc/ckeditor/ckeditor.js)
